"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Claude Giroux","PHI","F","63","MorganBu","","11.2","3.73","98%","-0.2%"
"Matt Murray","PIT","G","64","MorganBu","","11","3.67","99%","-0.1%"
"Seth Jones","CBJ","D","65","ErikErla","","11","3.67","97%","-0.3%"
"Jacob Trouba","NYR","D","66","evanmann","","11","3.67","93%","-1%"
"Ben Bishop","DAL","G","67","MorganBu","DAL 3<br/>@DET 4 F","10.9","10.9","98%","-0.2%"
"Sean Couturier","PHI","F","68","Curt","","10.8","3.6","95%","-0.2%"
"Rasmus Ristolainen","BUF","D","69","Curt","","10.6","5.3","87%","-1%"
"Anze Kopitar","LA","F","70","MorganBu","","10.4","3.47","92%","-0.1%"
"Max Pacioretty","VGK","F","71","MorganBu","","10.2","3.4","95%","-0.2%"
"Mathew Barzal","NYI","F","72","420","WPG 1<br/>@NYI 4 F","10.2","3.4","97%","-0.1%"
"Ryan Strome","NYR","F","73","The_Face","","10.2","3.4","72%","-0.1%"
"MacKenzie Blackwood","NJ","G","74","evanmann","","10.2","5.1","67%","-0.9%"
"Marc-Andre Fleury","VGK","G","75","Maualpha","","10.1","5.05","99%","0%"
"William Karlsson","VGK","F","76","The_Face","","9.8","3.27","96%","-0.1%"
"Jonathan Drouin","MON","F","77","The_Face","","9.8","3.27","84%","-0.2%"
"Jeff Petry","MON","D","78","Curt","","9.6","3.2","89%","-0.2%"
"Morgan Rielly","TOR","D","79","420","","9.4","3.13","100%","0%"
"Shayne Gostisbehere","PHI","D","80","ErikErla","","9.4","3.13","79%","-1.4%"
"Thomas Chabot","OTT","D","81","420","","9.2","2.3","99%","0%"
"Ryan Johansen","NSH","F","82","420","","9.2","3.07","78%","-0.5%"
"Dylan Strome","CHI","F","83","MorganBu","","9","2.25","74%","-0.7%"
"Jonathan Toews","CHI","F","84","ErikErla","","8.8","2.2","74%","-1.1%"
"Alexander Edler","VAN","D","85","evanmann","","8.6","2.87","86%","-0.5%"
"Darcy Kuemper","ARI","G","86","Morgo","","8.5","2.83","86%","0%"
"Oliver Ekman-Larsson","ARI","D","87","SNYD","","8.4","2.1","91%","-0.8%"
"Pekka Rinne","NSH","G","88","ErikErla","","8.2","4.1","99%","0%"
"Steven Stamkos","TB","F","89","MorganBu","TB 3<br/>@CAR 4 F","8","4","100%","0%"
